tipo_sort ord_vetor tamanho_vetor n_comp n_mov tempo
QM3 OrdD 350000 5.42575e+06 787856 0.0205225
QM3 OrdD 400000 6.27575e+06 924284 0.0250395
QM3 OrdD 450000 7.12575e+06 974284 0.02669
QM3 OrdD 500000 7.97575e+06 1.02428e+06 0.029825
QI1 Ale 50000 4.46806e+06 4.41416e+06 0.017008
QI1 Ale 100000 1.7568e+07 1.74608e+07 0.062983
QI1 Ale 150000 3.89181e+07 3.87407e+07 0.131539
QI1 Ale 200000 6.87179e+07 6.84987e+07 0.231413
QI1 Ale 250000 1.07651e+08 1.07397e+08 0.365429
QI1 Ale 300000 1.53558e+08 1.53222e+08 0.515908
QI1 Ale 350000 2.11206e+08 2.10861e+08 0.7215
QI1 Ale 400000 2.73147e+08 2.72678e+08 0.899723
QI1 Ale 450000 3.48454e+08 3.47902e+08 1.14881
QI1 Ale 500000 4.29536e+08 4.28975e+08 1.44374
QI1 OrdC 50000 349753 49871 0.001026
QI1 OrdC 100000 699753 99871 0.0020535
QI1 OrdC 150000 1.04975e+06 149871 0.003213
QI1 OrdC 200000 1.39975e+06 199871 0.004196
QI1 OrdC 250000 1.74975e+06 249871 0.0075135
QI1 OrdC 300000 2.09975e+06 299871 0.007616
QI1 OrdC 350000 2.44975e+06 349871 0.0083865
QI1 OrdC 400000 2.79975e+06 399871 0.0082795
QI1 OrdC 450000 3.14975e+06 449871 0.0107155
QI1 OrdC 500000 3.49975e+06 499871 0.0102805
QI1 OrdD 50000 299760 99870 0.0011105
QI1 OrdD 100000 599760 199870 0.002414
QI1 OrdD 150000 899760 299870 0.0033215
QI1 OrdD 200000 1.19976e+06 399870 0.0055795
QI1 OrdD 250000 1.49976e+06 499870 0.0092695
QI1 OrdD 300000 1.79976e+06 599870 0.006667
QI1 OrdD 350000 2.09976e+06 699870 0.007837
QI1 OrdD 400000 2.39976e+06 799870 0.0089175
QI1 OrdD 450000 2.69976e+06 899870 0.00999
QI1 OrdD 500000 2.99976e+06 999870 0.0114575
QI5 Ale 50000 2.1776e+07 2.1757e+07 0.0729065
QI5 Ale 100000 8.43126e+07 8.42711e+07 0.275277
QI5 Ale 150000 1.96086e+08 1.96019e+08 0.646408
QI5 Ale 200000 3.38058e+08 3.37976e+08 1.06795
QI5 Ale 250000 5.2948e+08 5.2939e+08 1.75266
QI5 Ale 300000 7.71342e+08 7.71213e+08 2.48734
QI5 Ale 350000 1.03898e+09 1.03886e+09 3.3441
QI5 Ale 400000 1.35002e+09 1.34983e+09 4.35766
QI5 Ale 450000 1.76568e+09 1.76545e+09 5.86892
QI5 Ale 500000 2.11634e+09 2.11612e+09 6.94023
QI5 OrdC 50000 249943 49967 0.0008105
QI5 OrdC 100000 499943 99967 0.0016965
QI5 OrdC 150000 749943 149967 0.0024065
QI5 OrdC 200000 999943 199967 0.0031705
QI5 OrdC 250000 1.24994e+06 249967 0.004109
QI5 OrdC 300000 1.49994e+06 299967 0.0061845
QI5 OrdC 350000 1.74994e+06 349967 0.0083775
QI5 OrdC 400000 1.99994e+06 399967 0.0075945
